Facility_Name,Facility_Type,Latitude,Longitude,Data_Sources,Confidence_Score,OSM_ID,Category,Dist_Zipline_km
Aboso Clinic,Clinic,5.3658203,-1.9409662,"OSM,HDX,healthsites",0.81,4803881309,Clinic,108.49212382906316
Abotoase Health Centre,Clinic,7.4064593,0.3032677,"OSM,HDX,healthsites",0.81,8620744517,Clinic,55.58891399533718
Abubruwa CHPS Compound,Clinic,7.9330107,0.5377045,"OSM,HDX,healthsites",0.81,8645224486,Clinic,62.48361142036003
Abura Clinic,Clinic,5.1311773,-1.2727752,"OSM,HDX,healthsites",0.81,5846864746,Clinic,149.75061542516454
Accra New Town CHPS Compound,Clinic,5.5830514,-0.2059619,OSM,0.63,707847400,Clinic,73.50716132361445
Acheampong Specialist Clinic,Clinic,5.5616954,-0.1725763,"OSM,HDX,healthsites",0.81,6356087258,Clinic,77.09046724000993
Achievers Medical Centre/Pharmacy,Clinic,6.6252406,-1.2075522,"OSM,HDX",0.67,12492183573,Clinic,51.385219823273054
Achimfo Chips,Clinic,5.7842722,-2.7227839,"OSM,HDX,healthsites",0.81,10675101359,Clinic,51.288791773527485
Acolatse Clinic,Clinic,6.7051444,-1.6471662,OSM,0.53,561736824,Clinic,48.26036099115624
Adaa CHPS Compound,Clinic,7.2445264,-1.8550088,"OSM,HDX,healthsites",0.81,7258191886,Clinic,55.95789121003186
Adabraka clinic,Clinic,5.5662728,-0.2095995,"OSM,HDX,healthsites",0.83,1728032224,Clinic,75.09850085185147
Adaklu Ahunda Health Centre,Clinic,6.2884718,0.5447816,"OSM,HDX,healthsites",0.81,7566448586,Clinic,47.72853404565953
Adawukwao CHIPS Compound,Clinic,5.6721049,-0.5151614,"OSM,HDX,healthsites",0.92,4801479847,Clinic,59.1712314901077
Addis Medical Laboratory,Clinic,7.3330164,-2.3215114,"OSM,HDX,healthsites",0.81,5984134810,Clinic,107.87240665465306
Adeiso Polyclinic,Clinic,5.7995879,-0.4906689,OSM,0.63,786945317,Clinic,44.849764822310355
Adenta Clinic,Clinic,5.7060649,-0.1681089,"OSM,HDX,healthsites",0.81,4400510392,Clinic,62.96347659060978
Adowa Boatemaa Memorial Clinic,Clinic,5.5330576,-0.2373638,"OSM,HDX,healthsites",0.81,8868150633,Clinic,77.58013846663415
Afenyo Memorial Hospital,Clinic,5.6921057,-0.0342412,"OSM,HDX,healthsites",0.81,4286173091,Clinic,72.58697719175773
Agbogba Community Clinic,Clinic,5.6949529,-0.2012443,"OSM,HDX,healthsites",0.81,7439191623,Clinic,62.35725176397537
Ahamasu Health Centre,Clinic,7.7255265,0.5502959,"OSM,HDX,healthsites",0.81,8635391676,Clinic,62.59663834016367
Ahmadiyya,Clinic,6.8940491,-2.5651706,OSM,0.53,574819082,Clinic,79.24842296675075
Airport Clinic Limited,Clinic,5.608267,-0.1709184,"OSM,HDX,healthsites",0.81,6923924091,Clinic,72.45967497836759
Airport Clinic Limited,Clinic,5.6074867,-0.1712902,"OSM,HDX,healthsites",0.81,6923935295,Clinic,72.5206839897489
Akai House Clinic,Clinic,5.5772342,-0.171563,OSM,0.53,702226170,Clinic,75.55835718283838
Albany Specialist Clinic,Clinic,5.6701424,-0.1838431,"OSM,HDX,healthsites",0.81,10603797382,Clinic,65.66835097354401
All Care Medical Center,Clinic,5.7080264,-0.0149194,"OSM,HDX,healthsites",0.81,3802490268,Clinic,72.61424744594456
All Faith Clinic,Clinic,5.5429511,-0.3350059,"OSM,HDX,healthsites",0.81,6312866084,Clinic,73.99072649681389
Amamorley Health Centre,Clinic,5.6634783,-0.2968717,"OSM,HDX,healthsites",0.81,7128879152,Clinic,61.880407223079764
Ameco Clinic,Clinic,6.8438867,0.4380732,"OSM,HDX,healthsites",0.81,8583235285,Clinic,49.73027486899045
Amen Scientific Herbal Clinic,Clinic,5.8038321,-2.8246973,"OSM,HDX,healthsites",0.81,10098462068,Clinic,56.28123433594821
Amerilife Spine Clinic,Clinic,6.693929,-1.6458691,"OSM,HDX,healthsites",0.81,6711467326,Clinic,49.175072138106636
Anglican Medical Center,Clinic,5.6972601,-0.2811363,"OSM,HDX,healthsites",0.81,7041388696,Clinic,58.806829363578544
Ankaako CHPS Compound,Clinic,5.3891941,-1.4548716,"OSM,HDX,healthsites",0.81,11944533779,Clinic,143.43328111340506
Anloga Avete Clinic,Clinic,5.7916311,0.8825777,"OSM,HDX,healthsites",0.81,4528254892,Clinic,110.86599529252345
Anomangye Specialist Hospital,Clinic,6.7240929,-1.6399322,"OSM,HDX,healthsites",0.81,8279192389,Clinic,46.10744076686916
Ansaful CHPS Compound,Clinic,5.3875577,-0.648335,OSM,0.63,1094481419,Clinic,92.88135801146464
Anyinasuso Health Centre,Clinic,6.9590279,-2.100323,"OSM,HDX,healthsites",0.81,7704399539,Clinic,79.685957013953
Anyirawase CHPs Compound,Clinic,6.5757507,0.3122873,"OSM,HDX,healthsites",0.81,8573132208,Clinic,19.171804224447264
Apenamadi chips compound,Clinic,6.9264342,-2.4563998,"OSM,HDX,healthsites",0.81,7464619985,Clinic,82.3846917574377
Asanyansu Clinic,Clinic,7.0386905,-0.5199449,OSM,0.63,867046420,Clinic,92.81035523171725
Asarekrom CHPS,Clinic,6.5762288,-2.6390223,"OSM,HDX,healthsites",0.81,7208528785,Clinic,46.82896913331127
Asato-Wawaso CHPS Compound,Clinic,7.6545297,0.4441794,"OSM,HDX,healthsites",0.81,8645208042,Clinic,52.82176682175303
Ashaiman Poly Clinic,Clinic,5.6865054,-0.0397182,"OSM,HDX,healthsites",0.81,1762080645,Clinic,72.69288553633626
Asiedu Memorial Clinic,Clinic,6.0930368,-0.25317,OSM,0.53,615233031,Clinic,24.567160276911533
Asubingya chip compounds,Clinic,7.7429908,-2.0629199,"OSM,HDX,healthsites",0.81,7198169490,Clinic,106.72645445328268
Asuboi chips compound,Clinic,7.2994445,-2.0487166,"OSM,HDX,healthsites",0.81,7257973786,Clinic,78.1024207889563
Asukawkaw Health Centre,Clinic,7.6882864,0.3663789,"OSM,HDX,healthsites",0.81,8620758545,Clinic,43.523343144562226
At Jude Clinic,Clinic,10.8941505,-1.0885918,"OSM,HDX,healthsites",0.81,9925587817,Clinic,68.0884258726225
Atekyem Medical Center,Clinic,6.0785084,-0.2690214,"OSM,HDX,healthsites",0.81,6312202203,Clinic,23.941885636969705
Atonkwa CHPS Compound,Clinic,5.1148728,-1.3256942,OSM,0.63,881814310,Clinic,154.80301107325795
Atronie Health Center,Clinic,7.1593665,-2.404393,OSM,0.53,636641953,Clinic,108.44857660742296
Atta Mills Clinic,Clinic,5.1423082,-1.244005,"OSM,HDX,healthsites",0.81,8077126981,Clinic,146.83804163630512
Awate Health Centre,Clinic,6.8685583,0.2368739,OSM,0.53,1212096546,Clinic,42.82730332350941
Ayeduase Health Centre,Clinic,6.6757824,-1.5610142,OSM,0.63,556311528,Clinic,46.15688403468449
B.A. Fuseini Memorial Clinic,Clinic,9.3839717,-0.8145347,"OSM,HDX,healthsites",0.82,12083172108,Clinic,106.52445418200749
BAMVIM CLINIC,Clinic,9.363791,-0.8348829,OSM,0.53,1206243422,Clinic,108.80410468784815
BJ Medical Centre,Clinic,5.6306277,-0.2609306,"OSM,HDX,healthsites",0.81,6475165522,Clinic,66.50636720015935
Bagurugu Clinic,Clinic,9.8885631,-0.7234993,OSM,0.53,786252716,Clinic,51.45952294300813
Be im Chips Compound,Clinic,8.0019431,-1.4694021,"OSM,HDX,healthsites",0.81,7183821686,Clinic,105.18928454429557
Beijing Clinic,Clinic,5.5583734,-0.1801221,OSM,0.53,428712574,Clinic,77.10527020510693
Bezzaleel Diagnostic Clinic,Clinic,6.0926275,-0.2600396,"OSM,HDX,healthsites",0.81,6481544425,Clinic,23.93185196330391
Biriwa Polyclinic,Clinic,5.1620283,-1.161675,OSM,0.53,1299443149,Clinic,139.7342091283328
Bliss Eye Care,Clinic,10.0535844,-2.5010303,OSM,0.53,13594995877,Clinic,188.81078895889647
Bloom physiotherapy clinic,Clinic,5.5712999,-0.2365437,"OSM,HDX,healthsites",0.82,10285834393,Clinic,73.58255933171642
Bodaa chips compound,Clinic,7.7813696,-2.8200144,"OSM,HDX,healthsites",0.81,7247901585,Clinic,177.5952566829044
Bodada Health Centre,Clinic,7.3578678,0.4895361,"OSM,HDX,healthsites",0.81,8607515712,Clinic,73.75448518547604
Bogoso Clinic,Clinic,5.5695349,-2.0195425,"OSM,HDX,healthsites",0.81,4851957897,Clinic,85.07888364939451
Bomso Clinic,Clinic,6.6846225,-1.5789128,"OSM,HDX,healthsites",0.81,8916511637,Clinic,46.15388734535434
Bonakye CHPs Compound,Clinic,8.4005857,0.4033496,"OSM,HDX,healthsites",0.81,8645208858,Clinic,80.87399486135766
Bonna O- A Memorial Clinic,Clinic,6.0944242,-0.2557173,"OSM,HDX,healthsites",0.81,6319174597,Clinic,24.2462017419965
Boys Dormitory,Clinic,5.9689484,-0.9933071,OSM,0.63,631745892,Clinic,65.84870166056831
Brahabebome Clinic,Clinic,5.3100143,-1.9992819,"OSM,HDX,healthsites",0.81,5359420378,Clinic,110.39458354572805
Bramkurom CHPS Compound,Clinic,6.515554,-0.8907326,"OSM,HDX,healthsites",0.82,12572478069,Clinic,60.13271161352671
Breast Clinic,Clinic,6.6957176,-1.6291948,OSM,0.53,556149726,Clinic,47.95600086158336
Bright ALK Herbal Clinic,Clinic,5.5793247,-0.1444822,OSM,0.53,1373672359,Clinic,76.60630540677175
Bruben Health Centre,Clinic,6.8528062,-0.0194326,"OSM,HDX,healthsites",0.81,8504151675,Clinic,45.03133990567829
Buipe Health Center,Clinic,8.7837394,-1.4691558,"OSM,HDX,healthsites",0.81,7716420846,Clinic,187.71210527964922
Buoku polyclinic,Clinic,7.4832239,-2.1730852,OSM,0.53,675605827,Clinic,99.05761845595543
Busa Health Centre,Clinic,10.0205722,-2.3909158,"OSM,HDX",0.67,13436232262,Clinic,177.65189544547493
Bussie Health Centre,Clinic,10.490573,-2.5007604,"OSM,HDX",0.67,8734375220,Clinic,186.52034907909098
Busunu Health Centre,Clinic,9.1649194,-1.5095539,OSM,0.63,201536004,Clinic,151.97199232032708
Buterisa CHIPS Compound,Clinic,10.4813523,-1.2795267,"OSM,HDX,healthsites",0.81,11368862223,Clinic,54.20086143888708
Buya Health Centre,Clinic,8.3752549,-0.0509579,"OSM,HDX,healthsites",0.81,12009400038,Clinic,63.97176088222039
CCTU Clinic,Clinic,5.1536489,-1.2783217,"OSM,HDX,healthsites",0.81,8219542117,Clinic,148.17249735487943
CDC Hospital (Cosmas- Damien Clinic),Clinic,6.0882694,-0.260182,"OSM,HDX,healthsites",0.81,6274427264,Clinic,24.167190433129868
CHPS,Clinic,10.0688655,-0.8971085,"OSM,HDX,healthsites",0.81,4449818564,Clinic,32.42891819330693
CHPS Compound,Clinic,6.4507913,-2.9733155,"OSM,HDX,healthsites",0.81,12504469402,Clinic,61.71650406802995
CHPS Compound,Clinic,6.0105292,-0.0515671,OSM,0.63,736371694,Clinic,48.57783832043485
CHPS Gonum,Clinic,10.920852,-1.0050586,"OSM,HDX",0.67,13508530401,Clinic,67.1972680396894
Caiquo Hospital,Clinic,5.6529005,-0.0224658,"OSM,HDX,healthsites",0.81,4400510792,Clinic,76.79889098945489
Cathedral Clinic and Lab Limited,Clinic,5.5395208,-0.2077661,OSM,0.53,546664075,Clinic,77.94656857634526
Celestial Medicare Clinic,Clinic,5.6011106,-0.1205109,"OSM,HDX,healthsites",0.81,12025133499,Clinic,75.67389770994421
Central Kasoa Clinic - Annex,Clinic,5.4846975,-0.4201227,"OSM,HDX,healthsites",0.81,8004079890,Clinic,79.45338270655425
Champion Divine,Clinic,5.6427452,-0.2494993,"OSM,HDX,healthsites",0.81,4557928697,Clinic,65.6420010069583
Chansa CHPS,Clinic,10.5726862,-1.192668,"OSM,HDX,healthsites",0.81,1919300432,Clinic,49.38120520817822
Chiraa Health Center,Clinic,7.4034605,-2.1827318,"OSM,HDX,healthsites",0.81,6688623740,Clinic,96.1329597650515
Chirano health center,Clinic,6.272812,-2.3192901,"OSM,HDX,healthsites",0.81,5126056121,Clinic,20.859847079125064
Chiropractic & Wellness Centres,Clinic,5.613932,-0.2098381,"OSM,HDX,healthsites",0.81,1251736962,Clinic,70.17308787009108
Christian Medical Service Clinic,Clinic,5.5832145,-0.1050135,"OSM,HDX,healthsites",0.81,6727482684,Clinic,78.23390507967636
Christleads Medical Center,Clinic,5.6803825,-0.1762184,"OSM,HDX,healthsites",0.81,4712847592,Clinic,65.03829261943382
Classic Diagnostic & Medical Clinic,Clinic,5.7045526,-0.2017476,"OSM,HDX,healthsites",0.81,8718176396,Clinic,61.378382582611906
Clinic,Clinic,5.6835098,-1.4960854,"OSM,HDX,healthsites",0.81,9856076368,Clinic,122.54338927577439
Clinic,Clinic,5.4908372,-1.5329901,"OSM,HDX,healthsites",0.81,11809886728,Clinic,130.17667399344768
Clinic,Clinic,10.3842998,-2.3283965,OSM,0.53,487527494,Clinic,167.04917964162104
Clinic,Clinic,5.3385656,-0.624054,OSM,0.53,776096298,Clinic,97.56996910204278
Clinic,Clinic,8.4881281,-0.1807559,OSM,0.53,1476179356,Clinic,78.53509861916721
Club Road Clinic,Clinic,5.5444776,-0.2063852,"OSM,HDX,healthsites",0.81,6213041912,Clinic,77.48329150284592
Cocoa Clinic,Clinic,6.6839711,-1.6164051,"OSM,HDX,healthsites",0.82,4925292335,Clinic,48.2744115644841
Codia Clinic,Clinic,5.7545405,0.0469545,"OSM,HDX,healthsites",0.81,6173271978,Clinic,73.73932599255939
Community Health Centre,Clinic,5.6586054,-2.3353753,OSM,0.53,1359704315,Clinic,60.18949577999682
Cosmopolitan Health,Clinic,5.6445739,-0.1554561,"OSM,HDX,healthsites",0.81,10655651666,Clinic,69.61259152820824
Cross Care Clinic,Clinic,6.7913022,-2.5173483,OSM,0.53,627446418,Clinic,67.47968018292194
DIS Clinic,Clinic,5.1307488,-1.2756277,"OSM,HDX,healthsites",0.81,6508003152,Clinic,149.98150842652797
DOORMOSH,Clinic,5.9615088,-1.8845838,OSM,0.53,1360431872,Clinic,70.74504159605333
Daboase Clinic,Clinic,5.1338409,-1.6561212,OSM,0.53,789268996,Clinic,147.83948790134028
Danfa Clinic,Clinic,5.7894523,-0.1595359,"OSM,HDX,healthsites",0.81,9132743820,Clinic,55.639368793936725
Dansoman polyclinic,Clinic,5.5610799,-0.2600791,"OSM,HDX,healthsites",0.82,4443298689,Clinic,73.88696246731502
Dantano chips compound,Clinic,6.7228836,-2.4348178,"OSM,HDX,healthsites",0.81,7208020586,Clinic,60.067344349532384
Daprof Clinic,Clinic,5.5796794,-0.1969327,OSM,0.53,708086101,Clinic,74.22093716168288
Dar-bem Clinic,Clinic,5.683381,-0.0362583,"OSM,HDX,healthsites",0.81,4286172893,Clinic,73.20152982637588
Darpong Clinic,Clinic,5.6281043,-0.0887588,"OSM,HDX,healthsites",0.82,6615072325,Clinic,74.86094718377949
Dawiri CHPS Compound,Clinic,7.8268181,-2.682561,"OSM,HDX,healthsites",0.81,7248247385,Clinic,166.72027455930723
Dawurampong Health center,Clinic,5.6847182,-2.0255273,OSM,0.53,536397823,Clinic,74.87924075405556
Denyase CHPS Compound,Clinic,5.8540204,-1.801722,"OSM,HDX,healthsites",0.81,8103253117,Clinic,83.84160018667004
Diagnostic Centre,Clinic,5.6317096,-0.1742594,"OSM,HDX,healthsites",0.82,4789654972,Clinic,69.95600236597565
Diamed Diagnostical and Treatment Center,Clinic,5.6390968,-0.1774079,"OSM,HDX,healthsites",0.81,9083982209,Clinic,69.06850129493746
Divine Clinic,Clinic,10.3115232,-0.0932731,"OSM,HDX,healthsites",0.81,6546836546,Clinic,77.88805135413436
Doctors on Duty Clinic,Clinic,5.559874,-0.1586122,OSM,0.53,513108606,Clinic,77.89505330647516
Dohamm Clinic Limited,Clinic,4.9304764,-1.7802097,"OSM,HDX,healthsites",0.81,1378720189,Clinic,158.88252847710518
Dons Medical Services,Clinic,5.5824186,-0.1983361,"OSM,HDX,healthsites",0.93,6958422911,Clinic,73.88193754243085
Dr Asomani Clinic,Clinic,6.0822777,-0.2607538,"OSM,HDX,healthsites",0.81,6312196221,Clinic,24.467622499696542
Dr. Forkuo Herbal Clinic,Clinic,5.2858419,-1.9962102,"OSM,HDX,healthsites",0.81,9664405319,Clinic,112.90012925216986
Dr. Mensah,Clinic,6.69986,-1.6191897,"OSM,HDX,healthsites",0.92,5643500622,Clinic,46.96044974868976
Dr. Mensah Herbal Clinic & Shop,Clinic,5.6805873,-0.1731334,"OSM,HDX,healthsites",0.81,6772265390,Clinic,65.17593611013784
Dua Clinic,Clinic,5.5720758,-0.2025512,"OSM,HDX,healthsites",0.81,1368374851,Clinic,74.77545221482043
Dumso Bethel CHPS,Clinic,7.8937996,-1.6576387,"OSM,HDX,healthsites",0.81,7203314586,Clinic,97.56019684057831
Duusi CHPS Compound,Clinic,10.7792563,-0.6931646,"OSM,HDX,healthsites",0.92,5349015829,Clinic,49.31392118383349
EFAN VICTORY CLINIC,Clinic,5.5985371,-0.1988832,"OSM,HDX,healthsites",0.82,11168489914,Clinic,72.20693021076404
Eastwing Clinic,Clinic,5.7563962,-0.006262,"OSM,HDX,healthsites",0.81,6019717328,Clinic,69.34319482349737
Edith's Maternity Home,Clinic,5.7554668,-0.328976,"OSM,HDX,healthsites",0.81,6305336215,Clinic,51.132475664820134
